exchange,trading_symbol,groww_symbol,name,series,isin,exchange_token
NSE,71MH32,NSE-71MH32,71MAHSDL32,SG,IN2220200207,313
NSE,719HUDCO28,NSE-719HUDCO28,HUDCO (N7),N7,INE031A07881,29650
NSE,722KA35,NSE-722KA35,722KASDL35,SG,IN1920210235,7707
NSE,722KA38A,NSE-722KA38A,722KARSDL38,SG,IN1920200640,2578
NSE,724KA38,NSE-724KA38,724KASDL38,SG,IN1920200665,2693
NSE,725IRFC35,NSE-725IRFC35,725IRFC35,NH,INE053F07819,11748
NSE,727GS2026,NSE-727GS2026,727GOI2026,GS,IN0020190016,9537
NSE,726GS2029,NSE-726GS2029,726GS2029,GS,IN0020180454,8027
NSE,728NTPC30B,NSE-728NTPC30B,728NTPC30B,N9,INE733E07JS0,10741
NSE,728IRFC30,NSE-728IRFC30,728IRFC30,NG,INE053F07801,11730
NSE,726GS2032,NSE-726GS2032,726GOI2032,GS,IN0020220060,10722
NSE,729IRFC26,NSE-729IRFC26,729IRFC26,NN,INE053F07892,15134
NSE,729NHAI26,NSE-729NHAI26,729NHAI26,NC,INE906B07EN0,14499
NSE,733GS2026,NSE-733GS2026,733GS26J24,GS,IN0020230119,19685
NSE,732IRFC25,NSE-732IRFC25,732IRFC25,NI,INE053F07827,11751
NSE,734IRFC28,NSE-734IRFC28,734IRFC28,N4,INE053F07579,29323
NSE,735PFCL35,NSE-735PFCL35,735PFC35,N1,INE134E07570,19972
NSE,735NHAI31,NSE-735NHAI31,735NHAI31,N9,INE906B07EI0,11954
NSE,736PFCL28,NSE-736PFCL28,736PFCL28,N2,INE134E07349,19974
NSE,735KA40,NSE-735KA40,735KARSDL40,SG,IN1920200616,2404
NSE,735IRFC31,NSE-735IRFC31,735IRFC31,NM,INE053F07884,15112
NSE,735NABAR31,NSE-735NABAR31,735NABARD31,N1,INE261F07057,20032
NSE,736GS2052,NSE-736GS2052,736GS2052,GS,IN0020220086,10931
NSE,739NHAI26,NSE-739NHAI26,739NHAI26,N8,INE906B07EH2,11952
NSE,738REC27TF,NSE-738REC27TF,738REC27TF,N2,INE020B07GX4,29111
NSE,737NTPC35C,NSE-737NTPC35C,737NTPC35C,,INE733E07JT8,10744
NSE,738GS2027,NSE-738GS2027,738GOI2027,GS,IN0020220037,9913
NSE,739NHAI31A,NSE-739NHAI31A,739NHAI31A,ND,INE906B07EO8,14522
NSE,740IIFCL33,NSE-740IIFCL33,740IIFCL33,N1,INE787H07156,20052
NSE,743REC35,NSE-743REC35,743REC35,NH,INE020B07JU4,19926
NSE,744KA35,NSE-744KA35,744KARSDL35,SG,IN1920210359,8120
NSE,745IGT26,NSE-745IGT26,745IGT26,NC,INE219X07199,3422
NSE,749IGT28,NSE-749IGT28,749IGT28,NG,INE219X07231,3442
NSE,74GS2062,NSE-74GS2062,74GOI2062,GS,IN0020220094,10981
NSE,750IRFC35,NSE-750IRFC35,750IRFC35,NK,INE053F07843,11757
NSE,754GS2036,NSE-754GS2036,754GOI2036,GS,IN0020220029,9585
NSE,753IRFC30,NSE-753IRFC30,753IRFC30,NJ,INE053F07835,11754
NSE,751HUDCO28,NSE-751HUDCO28,HUDCO (N5),N5,INE031A07865,29312
NSE,753NTPC30E,NSE-753NTPC30E,753NTPC30E,NC,INE733E07JV4,10749
NSE,757GS2033,NSE-757GS2033,757GOI2033,GS,IN0020190065,10046
NSE,760PFCL35,NSE-760PFCL35,760PFC35,N3,INE134E07588,19976
NSE,763KA37,NSE-763KA37,763KARSDL37,SG,IN1920220051,12692
NSE,763GS2059,NSE-763GS2059,763GOI2059,GS,IN0020190057,9907
NSE,762NTPC35F,NSE-762NTPC35F,762NTPC35F,ND,INE733E07JW2,10751
NSE,762GS2039,NSE-762GS2039,762GOI2039,GS,IN0020190024,9538
NSE,764TN29,NSE-764TN29,764TNSDL29,SG,IN3120220089,10452
NSE,764IRFC31,NSE-764IRFC31,764IRFC31,NO,INE053F07900,15168
NSE,764HUDCO31,NSE-764HUDCO31,764HUDCO31,N8,INE031A07AO5,19928
NSE,764NABAR31,NSE-764NABAR31,764NABARD31,N2,INE261F07032,20034
NSE,767KA32,NSE-767KA32,767KARSDL32,SG,IN1920220028,11984
NSE,769GS2043,NSE-769GS2043,769GOI2043,GS,IN0020190040,9888
NSE,769NHAI31,NSE-769NHAI31,769NHAI31,NE,INE906B07EP5,14529
NSE,76TN32,NSE-76TN32,760TMN32,SG,IN3120220139,10720
NSE,769HUDCO31,NSE-769HUDCO31,769HUDCO31,N9,INE031A07AT4,19930
NSE,76NHAI31,NSE-76NHAI31,76NHAI31,,INE906B07EJ8,12003
NSE,76IGT26,NSE-76IGT26,76IGT26,ND,INE219X07207,3425
NSE,76MH30,NSE-76MH30,76MHSDL30,SG,IN2220200025,21934
NSE,769IGT28,NSE-769IGT28,769IGT28,NH,INE219X07249,3451
NSE,774IREDA31,NSE-774IREDA31,774IREDA31,N7,INE202E07229,20030
NSE,772MH34,NSE-772MH34,772MAHSDL34,SG,IN2220220072,9724
