TckrSymb,FinInstrmNm,Industry,exchange
APLLTD,ALEMBIC PHARMA LTD,Pharmaceuticals & Biotechnology,NSE
ALICON,ALICON CASTALLOY LIMITED,Auto Components,NSE
ALIVUS,ALIVUS LIFE SCIENCES LTD,Pharmaceuticals & Biotechnology,NSE
ALKALI,ALKALI METALS LTD,Chemicals & Petrochemicals,NSE
ALKEM,ALKEM LABORATORIES LTD.,Pharmaceuticals & Biotechnology,NSE
ALKYLAMINE,ALKYL AMINES CHEM. LTD,Chemicals & Petrochemicals,NSE
ALLETEC,ALL E TECHNOLOGIES LTD,IT - Software,NSE
ACLGATI,ALLCARGO GATI LIMITED,Transport Services,NSE
ALLCARGO,ALLCARGO LOGISTICS LTD,Transport Services,NSE
ATL,ALLCARGO TERMINALS LTD,Transport Infrastructure,NSE
ALLDIGI,ALLDIGI TECH LIMITED,Commercial Services & Supplies,NSE
ABDL,ALLIED BLEND N DISTILS L,Beverages,NSE
ADSL,ALLIED DIGITAL SERV. LTD,IT - Services,NSE
ALMONDZ,ALMONDZ GLOBAL SEC LTD,Capital Markets,NSE
ALOKINDS,ALOK INDUSTRIES LIMITED,Textiles & Apparels,NSE
ALPA,ALPA LABORATORIES LTD,Pharmaceuticals & Biotechnology,NSE
ALPEXSOLAR,ALPEX SOLAR LIMITED,Electrical Equipment,NSE
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,Oil,NSE
ALPSINDUS,ALPS INDUSTRIES LTD.,Textiles & Apparels,NSE
ALUWIND,ALUWIND INFRA-TECH LTD,Industrial Products,NSE
ARE&M,AMARA RAJA ENERGY MOB LTD,Auto Components,NSE
AMBER,AMBER ENTERPRISES (I) LTD,Consumer Durables,NSE
AMBEY,AMBEY LABORATORIES LTD,Fertilizers & Agrochemicals,NSE
AMBICAAGAR,AMBICA AGAR & AROMAINDLTD,Household Products,NSE
AMBIKCO,AMBIKA COTTON MILL LTD.,Textiles & Apparels,NSE
AMBUJACEM,AMBUJA CEMENTS LTD,Cement & Cement Products,NSE
AMDIND,AMD INDUSTRIES LIMITED,Industrial Products,NSE
AMEYA,AMEYA PRECISION ENG LTD,Industrial Products,NSE
AMIORG,AMI ORGANICS LIMITED,,NSE
AMIABLE,AMIABLE LOGISTICS (I) LTD,Transport Services,NSE
AMNPLST,AMINES & PLASTICIZERS LTD,Chemicals & Petrochemicals,NSE
AMJLAND,AMJ LAND HOLDINGS LIMITED,Realty,NSE
AMRUTANJAN,AMRUTAJAN HEALTH LTD,Pharmaceuticals & Biotechnology,NSE
ANANDRATHI,ANAND RATHI WEALTH LTD,Capital Markets,NSE
ANANTRAJ,ANANT RAJ LIMITED,Realty,NSE
ACL,ANDHRA CEMENTS LIMITED,Cement & Cement Products,NSE
ANDHRAPAP,ANDHRA PAPER LIMITED,"Paper, Forest & Jute Products",NSE
ANDHRSUGAR,ANDHRA SUGARS LTD,Chemicals & Petrochemicals,NSE
ANGELONE,ANGEL ONE LIMITED,Capital Markets,NSE
